GuessWord,Max,Median,Average
takes,1603,412.0,415.9939524838013
takhi,1418,626.0,591.9390928725702
takin,1504,541.0,487.32397408207345
takis,1554,536.0,503.28380129589635
takky,1455,691.0,639.6151187904968
talak,1189,625.0,522.2682505399569
talaq,1250,688.0,600.5257019438445
talar,1145,371.0,376.5719222462203
talas,1226,493.0,469.5196544276458
talcs,1416,500.0,433.78617710583154
talcy,1399,397.0,399.3382289416847
talea,1131,319.0,355.207343412527
taler,1512,301.0,298.22159827213824
tales,1529,309.0,329.18358531317494
talks,1722,609.0,519.6120950323974
talky,1494,485.0,484.24190064794817
talls,1304,493.0,496.01252699784015
talma,1539,596.0,544.8539956803455
talpa,1481,563.0,524.6665226781857
taluk,1552,478.0,485.119222462203
talus,1388,475.0,448.50280777537796
tamal,1213,596.0,512.1969762419006
tamed,1339,365.0,398.12872570194384
tames,1565,382.0,389.5196544276458
tamin,1468,524.0,458.17149028077756
tamis,1515,497.0,471.40043196544275
tammy,1404,673.0,600.7524838012959
tamps,1772,613.0,584.2323974082074
tanas,1207,516.0,469.65140388768896
tanga,1352,616.0,539.0669546436285
tangi,1732,565.0,502.2946004319654
tangs,1707,542.0,494.6755939524838
tanhs,1474,554.0,506.1365010799136
tanka,1266,642.0,561.8436285097192
tanks,1710,604.0,525.8522678185745
tanky,1468,485.0,476.7209503239741
tanna,1394,719.0,549.8634989200864
tansy,1368,376.0,374.95550755939524
tanti,1339,487.0,512.8306695464363
tanto,1322,453.0,487.0984881209503
tanty,1125,543.0,463.82634989200864
tapas,1260,616.0,544.9555075593953
taped,1529,381.0,389.71576673866093
tapen,1311,368.0,358.56414686825053
tapes,1351,381.0,391.7166306695464
tapet,1218,395.0,404.54470842332614
tapis,1460,498.0,469.4025917926566
tappa,1555,820.0,687.1464362850971
tapus,1508,585.0,531.6336933045357
taras,1189,430.0,428.7170626349892
tardo,1425,446.0,413.13218142548595
tared,1267,304.0,332.0984881209503
tares,1495,320.0,317.81771058315337
targa,1487,506.0,484.37149028077755
targe,1414,276.0,324.8138228941685
tarns,1293,385.0,359.24190064794817
taroc,1333,416.0,390.28077753779695
tarok,1497,467.0,402.61684665226784
